Pregunta,Respuesta
"En relación al desafío ""Transformar la gestión del tráfico en la mina para lograr un flujo continuo y seguro"" (Área Operaciones Mina):
¿Es posible conocer qué tipo de sistemas de telemetría, posicionamiento o dispatch operan actualmente en los equipos móviles y livianos contemplados en el alcance de este desafío? Esta información nos permitiría evaluar la integración técnica de
nuestra solución con la infraestructura existente.",Se podria entregar esa información para los proyectos finalistas que firmen el acuerdo de confidencialidad
"¿La red de datos de BHP disponible a lo largo de las vías principales de la mina (WiFi mesh, LTE privado, radio) tiene capacidad para transmitir datos de tráfico en tiempo real desde los puntos de control hacia un sistema centralizado dentro de la infraestructura interna de la operación? Indicar tecnología, cobertura estimada y estándar de ciberseguridad OT de BHP que rige esa red.","A lo largo de las vías principales de la mina existe infraestructura de comunicaciones disponible, basada principalmente en LTE privado, complementada en algunos sectores por otros medios de comunicación industrial. Esta red permite la transmisión de datos de tráfico en tiempo real o casi real desde puntos de control hacia sistemas centralizados dentro de la infraestructura interna de la operación, aunque la cobertura no es completamente uniforme en todo el trazado.
Las soluciones no deben asumir conectividad continua ni latencia constante, y se espera que consideren mecanismos de resiliencia (procesamiento local, buffering). El uso de esta red se rige por el estándar de ciberseguridad OT de BHP, que define controles de seguridad, segregación de redes y gobierno tecnológico aplicables a este tipo de integraciones."
"Sobre infraestructura en cabina y AHS: a) ¿Existe actualmente infraestructura en las cabinas de los CAEX (pantallas, tablets, sistemas de dispatch) para recibir alertas dinámicas de una solución de terceros, o la startup debe incluir ese hardware como parte de la solución? b) Para los CAEX en operación autónoma (AHS), ¿el sistema del fabricante (ej. Cat Command for Hauling) acepta inputs de rutas o alertas de sistemas de terceros a través de alguna API, o es un sistema cerrado? c) ¿Los vehículos livianos (camionetas, minibuses de personal) que circulan en el pit tienen actualmente GPS corporativo con tracking en tiempo real, o la cobertura de posicionamiento de livianos es parcial o inexistente?","Para las preguntas a y b, ambos sistemas son cerrados por provedor y a través de esas pantallas no se puede recibir más información (Ademas en los camiones autonomos, no existe operador que vea la información, porque no son tripulados) por lo que si la solución plantea pantallas, es parte de lo que debe proveer el equipo postulante. c) Tienen GPS en tiempo real, pero son para fines de seguridad actualmente y no se puede utilizar para otro fin que no se haya especificado."
"¿Qué restricciones de seguridad mina no pueden ser violadas por la optimización (distancias mínimas entre CAEX, prohibición de adelantamientos en rampa, prioridad de equipos cargados sobre vacíos, reglas de derecho de paso)? ¿Existe un reglamento formal que la solución deba respetar como constraints duros?","Existe un procedimiento que indica todas las distancias y reglamentos para manejar dentro de la mina, pero este podra ser compartido una vez este firmado el acuerdo de confidencialidad"
"Existe acceso a energía eléctrica en zonas relevantes para el
desafío?","Solo las que naturalmente se encuentran disponibles en operación mina de cielo
abierto"
"Los equipos CAEX de interés para este desafío son en su totalidad
tripulados o Autónomos?","Primera instancia tripulados, pero si es posible abordar ambos en un solo piloto seria
lo ideal"
"¿Posterior a los pilotajes, se llevará a cabo un RFP?",Depende del resultado del piloto
"¿Un sistema basado en visión computacional para monitoreo de zonas acotadas (caminos in-pit), detectando intrusiones, detenciones y congestiones, responde al desafío? ¿O se busca
una solución que abarque la mina completa?","Si este sistema puede mejorar la gestión de trafico, se puede iniciar en esa primera instancia, pero la expectativa es que sea para la mina completa"
"¿Se busca una solución complementaria al sistema de despacho
existente, o una capa de inteligencia adicional que se integre con él?","No tenemos preferencia en la propuesta de la solución, siempre y cuando no tenga riesgos adicionales"
"¿Qué restricciones existen para instalar hardware o sensores
adicionales en la mina (cámaras, antenas, edge computing)?","No tenemos restricciones, tenemos un proceso de gestión del cambio donde se
evalúan los riesgos, controles y beneficio para robustecer la instalación"
